52965-50961,14
53851-46690,2
160329-160329,4
48393-48393,9
47134-47129,9
56535-56535,7
52243-117392,23
103437-103432,1
69706-50282,1
51070-49159,7
69646-69104,15
55512-50399,4
47158-47158,10
64556-64556,2
143038-143038,3
56307-56307,8
46627-158539,16
117139-117139,17
63830-50999,6
56205-51046,1
64264-144200,165
54512-54237,1
68901-68901,87
56753-56753,112
111070-111070,1
141869-117984,2
56789-56789,3
143745-143745,21
63971-63971,17
81931-81931,4
51599-51599,308
57851-54237,6
82749-81671,1
82608-82608,4
56004-56004,64
69743-51883,1
56472-56472,2
57830-50114,57
81268-117290,6
159482-158963,1
81879-50263,6
56277-56277,11
75513-74676,5
54293-51906,2
142873-141195,4
54118-48727,3
143964-143964,9
53707-50023,11
140567-140567,1
54792-50282,15
69315-69315,8
142183-142183,6
69037-69037,15
142922-111445,2
89967-89967,1
56984-56984,23
88947-64490,35
47803-140629,5
160555-160555,1
54929-52834,18
55891-55891,7
81472-49541,28
55649-55649,2
54701-54701,47
103264-103264,31
75142-53960,16
103232-103232,38
81507-81507,3
52969-51710,20
88854-52800,1
88854-52805,1
48601-48601,20
52471-47204,1
74749-74749,4
110980-110980,3
56895-56895,32
56229-48311,10
54996-54996,2
53513-53513,14
57185-48942,1
90174-49843,31
101149-101149,9
89873-53960,6
69225-69225,42
55921-46887,46
52686-52686,198
75006-75006,58
53851-141154,2
54496-54496,106
57846-57846,2
48367-48066,5
81705-54224,19
50409-50409,3
56602-159832,14
55508-50883,2
101884-101149,9
117876-117876,2
50696-50023,6
158772-158772,1
55789-55789,31
81482-161115,32
53707-49479,36
53801-53801,23
54676-54676,27
55812-53255,3
54822-54778,20
47091-141524,1
57507-118264,2
64485-47790,1
101279-101279,2
63502-63502,11
56630-48727,2
46601-46601,4
53402-102928,4
103120-103120,7
118101-118101,15
54844-144200,165
54237-110773,32
52065-52065,19
51345-47918,4
55089-48082,62
55952-48157,74
110883-110883,7
111227-111227,7
69100-54237,1
54263-50730,5
64372-64372,16
57468-52744,5
81543-81535,8
49405-141730,3
57185-57185,26
160050-103643,2
63571-63571,15
57536-57425,1
81380-54696,56
53558-53558,49
52441-48109,40
